timestamp,attention_active,attention,stress_active,cognitive_stress
2025-07-26T20:28:24.318052,True,0.42435,True,0.210786
2025-07-26T20:28:24.834432,True,0.441466,True,0.193296
2025-07-26T20:28:25.283168,True,0.459461,True,0.179227
2025-07-26T20:28:25.802538,True,0.466684,True,0.167454
2025-07-26T20:28:26.319189,True,0.471454,True,0.158302
2025-07-26T20:28:26.814927,True,0.474221,True,0.151051
2025-07-26T20:28:27.330686,True,0.476718,True,0.144566
2025-07-26T20:28:27.803190,True,0.478972,True,0.138311
2025-07-26T20:28:28.300648,True,0.478604,True,0.132365
2025-07-26T20:28:28.816555,True,0.479081,True,0.127071
2025-07-26T20:28:29.312423,True,0.479517,True,0.122263
2025-07-26T20:28:29.828076,True,0.479913,True,0.118247
2025-07-26T20:28:30.299809,True,0.480275,True,0.114502
2025-07-26T20:28:30.795164,True,0.480605,True,0.110892
2025-07-26T20:28:31.312940,True,0.481688,True,0.10823
2025-07-26T20:28:31.810141,True,0.48283,True,0.106106
2025-07-26T20:28:32.325246,True,0.480562,True,0.104341
2025-07-26T20:28:32.795961,True,0.478527,True,0.103288
2025-07-26T20:28:33.294419,True,0.476701,True,0.102822
2025-07-26T20:28:33.810631,True,0.475064,True,0.103321
2025-07-26T20:28:34.307752,True,0.473597,True,0.104154
2025-07-26T20:28:34.823180,True,0.468956,True,0.105267
2025-07-26T20:28:35.295942,True,0.465427,True,0.105561
2025-07-26T20:28:35.791224,True,0.466395,True,0.10469
2025-07-26T20:28:36.309847,True,0.470616,True,0.104356
2025-07-26T20:28:36.826823,True,0.471816,True,0.104471
2025-07-26T20:28:37.323080,True,0.472902,True,0.105856
2025-07-26T20:28:37.793614,True,0.475562,True,0.108599
2025-07-26T20:28:38.310385,True,0.477962,True,0.111356
2025-07-26T20:28:38.806008,True,0.480128,True,0.114119
2025-07-26T20:28:39.320849,True,0.4824,True,0.114574
2025-07-26T20:28:39.818037,True,0.486753,True,0.1147
2025-07-26T20:28:40.290469,True,0.492987,True,0.115167
2025-07-26T20:28:40.808724,True,0.500767,True,0.115921
2025-07-26T20:28:41.303625,True,0.50777,True,0.119607
2025-07-26T20:28:41.822230,True,0.511892,True,0.123667
2025-07-26T20:28:42.314553,True,0.516379,True,0.127622
2025-07-26T20:28:42.786319,True,0.521578,True,0.131633
2025-07-26T20:28:43.305762,True,0.526249,True,0.135478
2025-07-26T20:28:43.801804,True,0.523984,True,0.138733
2025-07-26T20:28:44.318789,True,0.521939,True,0.141619
2025-07-26T20:28:44.814341,True,0.521437,True,0.144425
2025-07-26T20:28:45.285721,True,0.518509,True,0.146931
2025-07-26T20:28:45.802986,True,0.515869,True,0.148732
2025-07-26T20:28:46.298018,True,0.511916,True,0.150059
2025-07-26T20:28:46.813963,True,0.509932,True,0.15107
2025-07-26T20:28:47.333694,True,0.510482,True,0.152626
2025-07-26T20:28:47.785135,True,0.514983,True,0.154764
2025-07-26T20:28:48.302684,True,0.519029,True,0.15681
2025-07-26T20:28:48.819451,True,0.520411,True,0.159909
2025-07-26T20:28:49.311674,True,0.522088,True,0.164097
2025-07-26T20:28:49.829375,True,0.525491,True,0.168154
