timestamp,counter,interpolated,T7,T8,raw_cq,marker_hardware,markers
2025-07-26T20:34:00.449578,19,0,3259.619,4392.0,0.0,0,[]
2025-07-26T20:34:00.450550,20,0,3341.524,4308.667,0.0,0,[]
2025-07-26T20:34:00.450891,21,0,3418.667,4282.0,0.0,0,[]
2025-07-26T20:34:00.451141,22,0,3316.286,4348.667,0.0,0,[]
2025-07-26T20:34:00.451332,23,0,3301.048,4325.81,0.0,0,[]
2025-07-26T20:34:00.494767,24,0,3397.238,4297.714,0.0,0,[]
2025-07-26T20:34:00.495431,25,0,3329.619,4381.048,0.0,0,[]
2025-07-26T20:34:00.495791,26,0,3236.762,4441.048,0.0,0,[]
2025-07-26T20:34:00.496117,27,0,3310.571,4419.619,0.0,0,[]
2025-07-26T20:34:00.496439,28,0,3313.429,4412.952,0.0,0,[]
2025-07-26T20:34:00.516674,29,0,3221.524,4425.333,0.0,0,[]
2025-07-26T20:34:00.517084,30,0,3292.476,4408.667,0.0,0,[]
2025-07-26T20:34:00.517392,31,0,3403.429,4384.857,0.0,0,[]
2025-07-26T20:34:00.517618,32,0,3338.667,4371.524,0.0,0,[]
2025-07-26T20:34:00.517805,33,0,3303.905,4331.524,0.0,0,[]
2025-07-26T20:34:00.562551,34,0,3405.81,4279.143,0.0,0,[]
2025-07-26T20:34:00.563315,35,0,3390.095,4317.238,0.0,0,[]
2025-07-26T20:34:00.564340,36,0,3278.667,4388.19,0.0,0,[]
2025-07-26T20:34:00.565065,37,0,3303.905,4381.524,0.0,0,[]
2025-07-26T20:34:00.565735,38,0,3334.381,4408.667,0.0,0,[]
2025-07-26T20:34:00.607912,39,0,3269.143,4474.857,0.0,0,[]
2025-07-26T20:34:00.608874,40,0,3309.619,4438.667,0.0,0,[]
2025-07-26T20:34:00.609512,41,0,3397.238,4381.524,0.0,0,[]
2025-07-26T20:34:00.609870,42,0,3337.238,4370.571,0.0,0,[]
2025-07-26T20:34:00.610206,43,0,3297.714,4318.19,0.0,0,[]
2025-07-26T20:34:00.629824,44,0,3392.952,4279.619,0.0,0,[]
2025-07-26T20:34:00.630586,45,0,3389.143,4328.19,0.0,0,[]
2025-07-26T20:34:00.631326,46,0,3268.667,4367.238,0.0,0,[]
2025-07-26T20:34:00.631925,47,0,3270.095,4371.048,0.0,0,[]
2025-07-26T20:34:00.632265,48,0,3321.524,4416.286,0.0,0,[]
2025-07-26T20:34:00.675973,49,0,3262.952,4446.762,0.0,0,[]
2025-07-26T20:34:00.677156,50,0,3249.619,4408.19,0.0,0,[]
2025-07-26T20:34:00.678413,51,0,3334.381,4402.476,0.0,0,[]
2025-07-26T20:34:00.690717,52,0,3340.095,4425.333,0.0,0,[]
2025-07-26T20:34:00.699293,53,0,3311.524,4378.667,0.0,0,[]
2025-07-26T20:34:00.718049,54,0,3371.524,4314.381,0.0,0,[]
2025-07-26T20:34:00.718378,55,0,3371.524,4320.571,0.0,0,[]
2025-07-26T20:34:00.718504,56,0,3271.524,4351.524,0.0,0,[]
2025-07-26T20:34:00.718618,57,0,3271.524,4348.19,0.0,0,[]
2025-07-26T20:34:00.718722,58,0,3326.286,4371.524,0.0,0,[]
2025-07-26T20:34:00.765143,59,0,3284.381,4423.429,0.0,0,[]
2025-07-26T20:34:00.765888,60,0,3269.619,4407.238,0.0,0,[]
2025-07-26T20:34:00.766472,61,0,3333.905,4390.571,0.0,0,[]
2025-07-26T20:34:00.767171,62,0,3354.381,4425.81,0.0,0,[]
2025-07-26T20:34:00.767432,63,0,3376.286,4383.905,0.0,0,[]
2025-07-26T20:34:00.787600,64,0,3433.429,4310.095,0.0,0,[]
2025-07-26T20:34:00.788264,65,0,3385.81,4336.762,0.0,0,[]
2025-07-26T20:34:00.788599,66,0,3276.762,4357.714,0.0,0,[]
2025-07-26T20:34:00.788810,67,0,3283.905,4322.952,0.0,0,[]
2025-07-26T20:34:00.788984,68,0,3323.429,4362.952,0.0,0,[]
2025-07-26T20:34:00.831616,69,0,3281.524,4427.714,0.0,0,[]
2025-07-26T20:34:00.832381,70,0,3295.81,4400.095,0.0,0,[]
2025-07-26T20:34:00.832770,71,0,3369.619,4407.714,0.0,0,[]
2025-07-26T20:34:00.833048,72,0,3340.571,4481.524,0.0,0,[]
2025-07-26T20:34:00.833302,73,0,3298.667,4460.571,0.0,0,[]
2025-07-26T20:34:00.877625,74,0,3383.905,4391.524,0.0,0,[]
2025-07-26T20:34:00.878475,75,0,3444.381,4373.905,0.0,0,[]
2025-07-26T20:34:00.878987,76,0,3365.81,4335.333,0.0,0,[]
